"id_ppd";"id_ramal";"temporada";"dia";"direccion";"inicio";"pto1";"pto2";"pto3";"pto4";"pto5";"pto6";"pto7";"pto8";"pto9";"pto10";"pto11";"pto12";"pto13";"pto14";"pto15";"pto16";"pto17";"pto18";"pto19";"pto20";"pto21";"pto22";"pto23";"pto24";"pto25";"fin"
"1178";"67";"INVIERNO 16";"MEDIO FESTIVO";"IDA";"Arijón y Ayacucho";"Buenos Aires y Rui Barbosa";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Arijón y Ayacucho"
"1179";"67";"INVIERNO 16";"MEDIO FESTIVO";"VUELTA";"Arijón y Ayacucho";"Lituania y Av. del Rosario";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Arijón y Ayacucho"
"1180";"67";"INVIERNO 16";"FESTIVO";"IDA";"Arijón y Ayacucho";"Buenos Aires y Rui Barbosa";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Arijón y Ayacucho"
"1181";"67";"INVIERNO 16";"FESTIVO";"VUELTA";"Arijón y Ayacucho";"Lituania y Av. del Rosario";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Arijón y Ayacucho"
"3025";"14";"INVIERNO 16";"MEDIO FESTIVO";"IDA";"Ab. Grandoli y J. M. Gutiérrez";"San Martín y Dean Funes";"27 de Febrero y  Oroño";"Iriondo y Pte. Perón";"Santa Fe y Cafferata";"Velez Sarsfield y Avellaneda";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Nansen y V. Mercante"
"3026";"14";"INVIERNO 16";"MEDIO FESTIVO";"VUELTA";"Nansen y V. Mercante";"Junin Y Av. Alberdi";"Urquiza y Francia";"Pellegrini y Cafferata";"27 de Febrero y  Oroño";"San Martín y Ayolas";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Ab. Grandoli y J. M. Gutiérrez"
"4604";"71";"INVIERNO 16";"FESTIVO";"IDA";"Aeropuerto";"Donado y J.J. Paso";"Eva Perón y Cullen";"Córdoba y Cafferata";"San Luis y Moreno";"San Luis y 1º Mayo";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Riobamba y Esmeralda"
"4605";"71";"INVIERNO 16";"FESTIVO";"VUELTA";"Riobamba y Esmeralda";"Maipú y 9 de Julio";"Santa Fe y Entre Ríos";"Santa Fe y Cafferata";"Eva Perón y Cullen";"Donado y J.J. Paso";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Aeropuerto"
"4606";"71";"INVIERNO 16";"MEDIO FESTIVO";"IDA";"Aeropuerto";"Donado y J.J. Paso";"Eva Perón y Cullen";"Córdoba y Cafferata";"San Luis y Moreno";"San Luis y 1º Mayo";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Riobamba y Esmeralda"
"4607";"71";"INVIERNO 16";"MEDIO FESTIVO";"VUELTA";"Riobamba y Esmeralda";"Maipú y 9 de Julio";"Santa Fe y Entre Ríos";"Santa Fe y Cafferata";"Eva Perón y Cullen";"Donado y J.J. Paso";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Aeropuerto"
"4608";"15";"INVIERNO 16";"FESTIVO";"IDA";"Wilde y Eva Perón";"Donado y J.J. Paso";"Eva Perón y Cullen";"Córdoba y Cafferata";"San Luis y Moreno";"San Luis y 1º Mayo";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Riobamba y Esmeralda"
"4609";"15";"INVIERNO 16";"FESTIVO";"VUELTA";"Riobamba y Esmeralda";"Maipú y 9 de Julio";"Santa Fe y Entre Ríos";"Santa Fe y Cafferata";"Eva Perón y Cullen";"Donado y J.J. Paso";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Wilde y Eva Perón"
"4610";"15";"INVIERNO 16";"MEDIO FESTIVO";"IDA";"Wilde y Eva Perón";"Donado y J.J. Paso";"Eva Perón y Cullen";"Córdoba y Cafferata";"San Luis y Moreno";"San Luis y 1º Mayo";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Riobamba y Esmeralda"
"4611";"15";"INVIERNO 16";"MEDIO FESTIVO";"VUELTA";"Riobamba y Esmeralda";"Maipú y 9 de Julio";"Santa Fe y Entre Ríos";"Santa Fe y Cafferata";"Eva Perón y Cullen";"Donado y J.J. Paso";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Wilde y Eva Perón"
"4620";"68";"INVIERNO 16";"FESTIVO";"IDA";"Pcias. Unidas y Riobamba";"Cochabamba y Nicaragua";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Pasaje 1756 y Calle 1739"
"4621";"68";"INVIERNO 16";"FESTIVO";"VUELTA";"Pasaje 1756 y Calle 1739";"Cochabamba y Nicaragua";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Pcias. Unidas y Riobamba"
"4622";"68";"INVIERNO 16";"MEDIO FESTIVO";"IDA";"Pcias. Unidas y Riobamba";"Cochabamba y Nicaragua";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Pasaje 1756 y Calle 1739"
