id_ramal;empresa;linea;ramal;desclinearamal;fin_ida;fin_vuelta;text_recorrido
1;1;101;NEGRO;NULL;Ciudad Universitaria;Rueda y Provincias Unidas; IDA: Desde Rueda y Av. Provincias Unidas, por Av. Provincias Unidas, J.J. Paso, Rep. Dominicana, French, Rep. Dominicana, Gorriti, Iguazú, Humberto Primero, Cangallo, Harding, Av. A. Sabin, Bv. Avellaneda, Viaducto Avellaneda, San Lorenzo, Vera Mujica, Tucumán, Suipacha, San Lorenzo, Laprida, Av. Pellegrini, Alem, Cerrito, Berutti hasta Riobamba VUELTA: Desde Berutti y Riobamba, por Riobamba, Ayacucho, Av. Pellegrini, Maipú, Santa Fe, Viaducto Avellaneda, Bv. Avellaneda, Casilda, Nueva York, Bahía Blanca, Vélez Sarsfield, Rep. Dominicana, French, Formosa, J.J. Paso, Av. Provincias Unidas, Rueda, República del Salvador, Amenábar, Av. Provincias Unidas hasta Rueda.
;;;;;;;
2;1;101;ROJO;NULL;Ciudad Universitaria;Provincias Unidas y J. J. Paso; IDA: Desde Av. Provincias Unidas y J.J. Paso, por Av. Provincias Unidas, Junín, Av. A. Sabin, Bv. Avellaneda, Viaducto Avellaneda, San Lorenzo, Vera Mujica, Tucumán, Suipacha, San Lorenzo, Laprida, Av. Pellegrini, Alem, Cerrito, Berutti hasta RiobambaVUELTA: Desde Berutti y Riobamba, por Riobamba, Ayacucho, Av. Pellegrini, Maipú, Santa Fe, Viaducto Avellaneda, Bv Avellaneda, Casilda, Av. A. Sabin, Stephenson, Vélez Sarsfield, Formosa, Junín,  Av. Provincias Unidas hasta J.J. Pas
;;;;;;;
3;1;102;NEGRO;NULL;Ciudad Universitaria;Mini Terminal Bº Rucci; IDA: Desde Mini-terminal de Barrio Rucci, por Castro, H. Manzi, I. Peirano, Palliere, Puente “Automóvil Club Argentino” (puente sobre Av. Circunvalación), Palliere, Gianneo Norte, Gianneo Sur Av. J. Kennedy, Gambartes, Palestina, Camino de Los Granaderos, Colectora Int. 25 de Mayo, Salvat, Bv. Rondeau, Av. Alberdi, Bordabehere, Salta, Cafferata, Córdoba, Balcarce, San Luis, Entre Ríos, Mendoza, Alem, Pasco, Chacabuco, Cerrito,  Berutti, hasta Riobamba-CUR.<br>VUELTA: desde Beruti y Riobamba, por Riobamba, Ayacucho, 3 de Febrero, Buenos Aires, Santa Fe, San Nicolás, Bordabehere, Av. Alberdi, Bv. Rondeau, Av. H. Irigoyen, Medrano, Salvat, Los Cocos, Palestina, Gambartes, Av. J. Kennedy, Gianneo Norte, Palliere, Puente “Automóvil Club Argentino” (puente sobre Av. Circunvalación), Palliere, I. Peirano, Castro hasta Mini-terminal de Barrio Rucci.<br> <br><ul><li> Recorrido de seguridad (Horario 21:00 a 06:00 hs): de su recorrido, Pasco, Chacabuco, Cerrito, Berutti. </li></ul><ul><li> Horario durante el ciclo lectivo - Ingreso al predio de la Ciudad UniversitariaDías: Lunes a Viernes 			Días: SábadosHorario: 07:00 a 24:00 horas 		Horario: 07:00 a 14:00 horas</li></ul><br><ul><li> Recorridos en los horarios no comprendidos precedentemente – Fuera del ciclo lectivo <br>IDA: de su recorrido, Cerrito, Berutti hasta Riobamba.VUELTA: Desde Berutti y Riobamba, por Riobamba, a su recorrido.</li></ul>
;;;;;;;
4;1;102;ROJO;NULL;Ciudad Universitaria;Battle y Arequipa; IDA: Desde L. Batlle y Arequipa, por L. Batlle-Villa del Parque, Levi, Calderón, Salvat, Villa del Parque, Grandoli Norte, Poblet, Bouchard, Polledo, Bv. Granel, Baigorria, Avalos, Superí, Boedo, Ghiraldo, Esquivel, Av. Casiano Casas, Sorrento, Av. A. Sabin, Av. C. Carballo, Bv. Avellaneda, Gorriti, Falucho, Junín, Av. Francia (N-S), Túnel Celedonio Escalada, Av. Del Valle, Av. Rivadavia, Dorrego, San Luis, Entre Ríos, Mendoza, Alem, Pasco, Chacabuco, Cerrito, Berutti, hasta Riobamba- CUR.<br> VUELTA: desde Berutti Riobamba, por Riobamba, Ayacucho, 3 de Febrero, Buenos Aires, Santa Fe, Italia, Av. A. Illia, Av. Brigadier López, Vélez Sarsfield, Echeverría, Av. C. Carballo, Av. A. Sabin-Pacheco, Sorrento, Av. Casiano Casas, Pavlov, Ghiraldo, Molina, Baigorria, Bv. Granel, Gazcón, Calle 1331, Villa del Parque, Salvat, Calderón, Tres Sargentos, Límite de Municipio, L. Batlle hasta Arequipa.<br> <br><ul><li> Recorrido de seguridad (Horario 21:00 a 06:00 hs): de su recorrido, Pasco, Chacabuco, Cerrito, Berutti.</li></ul><ul><li>  Horario durante el ciclo lectivo - Ingreso al predio de la Ciudad Universitaria Días: Lunes a Viernes Horario: 07:00 a 24:00 horas Días: sábados Horario: 07:00 a 14:00 horas</li></ul><ul><li> Recorridos en los horarios no comprendidos precedentemente – Fuera del ciclo lectivo<br>IDA: de su recorrido, Cerrito, Berutti hasta Riobamba. VUELTA: Desde Berutti y Riobamba, por Riobamba, a su recorrido.</li></ul>
;;;;;;;
5;1;103;NEGRO;NULL;Villa Gobernador Gálvez;Baigorria;IDA: Desde el Municipio de Granadero Baigorria por Ruta Nº 11 ingresa a Rosario por Bv. Rondeau, Av. Alberdi, Bordabehere, Salta, Paraguay, Virasoro, San Martín, Cabildo, Laprida, Patricios, Buenos Aires, Batlle y Ordoñez, Ayacucho hacia el municipio de Villa Gobernador Gálvez. VUELTA: Desde el municipio de Villa Gobernador Gálvez ingresa por Ayacucho, Marco Polo, Buenos Aires, Muñoz, San Martín, Bv. 27 de Febrero, Corrientes, Catamarca, San Nicolás, Bordabehere, Av. Alberdi, Bv. Rondeau, hacia el Municipio de Granadero Baigorria.
;;;;;;;
6;1;103;ROJO;NULL;Mini Terminal Bº Rucci;Villa Gobernador Gálvez;IDA: Desde el Municipio de V.G. Gálvez por Ruta Nac. Nº 9, ingresa a Rosario por Av. San Martín, Bv. 27 de Febrero, Corrientes, Catamarca, San Nicolás, Bordabehere, Av. Alberdi, Bv. Rondeau, Sorrento, Av. Casiano Casas, Baigorria, López Buchardo, paso bajo a nivel de Av. Circunvalación, Blomberg, Peirano, Castro hasta mini-terminal de Barrio Rucci. VUELTA: Desde Mini-terminal de Barrio Rucci, por Castro, H. Manzi, Peirano, Palestina, Blomberg, paso bajo nivel de Av. Circunvalación, López Buchardo, Baigorria, Av. Casiano Casas, Sorrento, Bv Rondeau, Av. Alberdi, Bordabehere, Salta, Paraguay, Virasoro, Av. San Martín hasta Límite de Municipio y hacia el Municipio de Villa Gobernador Gálvez.
;;;;;;;
7;1;106;NEGRO;IBARLUCEA;M. Santafesinos e Isola;Comuna de Ibarlucea; IDA: Desde Arequipa y L. Batlle, por L. Batlle-Villa del Parque, Levi, Calderón, Salvat, Villa del Parque, F. Grandoli Norte, Gazcón, Bv. Granel, Baigorria, López Buchardo, Paso bajo a nivel de Av. Circunvalación, Blomberg, H. Manzi, I. Peirano, Palliere, puente “Automóvil Club Argentino” (puente sobre Av. Circunvalación), Palliere, Gianneo, Z. Pereyra, Baigorria, Avalos, Superí, Bv. Rondeau, Av. Alberdi, Bv. Avellaneda, San Lorenzo, Vera Mújica, Tucumán, Entre Ríos, Av. Uriburu,  J.M. Rosas, Pje. La Bajada hasta Buenos Aires.- VUELTA: Desde Buenos Aires y Pje. La Bajada, Buenos Aires, Av. Uriburu, Corrientes, Urquiza, Cafferata, Santa Fe, Bv. Avellaneda, Harding, Av. Alberdi, Bv. Rondeau, Baigorria, Z. Pereyra, Gianneo, Palliere puente “ Automóvil Club Argentino” (puente sobre Av. Circunvalación), I. Peirano, Palestina, Blomberg, Paso Bajo a Nivel de Av. Circunvalación, López Buchardo, Baigorria, Bv. Granel, Gazcón, Calle 1331, Villa del Parque, Salvat, Calderón- Tres Sargentos, Camino limite del municipio, L. Batlle hasta Arequipa.
;;;;;;;
8;1;106;ROJO;MUNICIPIO;M. Santafesinos e Isola;M. García; IDA: Desde la Comuna de Ibarlucea, Ruta Nacional Nº 34, Bv. Granel, F. Grandoli, Granel, Baigorria, Avalos, Superí, Bv. Rondeau, Av. Alberdi, Bv. Avellaneda, San Lorenzo, Vera Mújica, Tucumán, Entre Ríos, Amenábar, Colón, Ayolas, Necochea-Pavón, E. de Luca, A. Grandoli, Gutiérrez, Maestros Santafesinos hasta Isola. VUELTA: Desde Maestros Santafesinos e Isola, por Isola, N. Roxlo, Sánchez de Thompson, Hipócrates, Gutiérrez, Pavón-Necochea, Gaboto, Corrientes, Urquiza, Cafferata, Santa Fe, Bv. Avellaneda, Harding, Av. Alberdi, Bv. Rondeau, Baigorria, Bv. J. Granel, Gazcón, F. Grandoli Norte, Bv. J. Granel, Ruta Nacional Nº 34, a la Comuna de Ibarlucea.(Recorrido de seguridad de 22:00 a 06:00)IDA: Desde su recorrido por Ayolas, A. Grandoli, Gutiérrez, Maestros Santafesinos hasta Isola.VUELTA: Desde Maestros Santafesinos e Isola, por Isola, N. Roxlo, Sánchez de Thompson, A. Grandoli, Gaboto a su recorrido.
;;;;;;;
9;1;107;NEGRO;NULL;M. Santafesinos e Isola;Battle y Arequipa; IDA:Desde Arequipa y L. Batlle, por L. Batlle-Villa del Parque, Levi, Calderón, Salvat, Villa del Parque, F. Grandoli Norte, Av. Suárez, Cnel. Fontana, Bv. Granel, Baigorria, López Buchardo, Paso bajo a nivel de Av. Circunvalación, Blomberg, H. Manzi, I. Peirano, Palliere, puente “Automóvil Club Argentino” (puente sobre Av. Circunvalación), Palliere, Gianneo, Z. Pereyra, Baigorria, Avalos, Superí, Bv. Rondeau, Av. Alberdi, Bv. Avellaneda, San Lorenzo, Vera Mújica, Tucumán, Suipacha, San Lorenzo, Entre Ríos, Av. Uriburu,  J.M. Rosas, Pje. La Bajada hasta Buenos Aires.- VUELTA: Desde Buenos Aires y Pje. La Bajada, Buenos Aires, Av. Uriburu, Corrientes, Urquiza, Cafferata, Santa Fe, Bv. Avellaneda, Harding, Av. Alberdi, Bv. Rondeau, Baigorria, Z. Pereyra, Gianneo, Palliere, puente “Automóvil Club Argentino” (puente sobre Av. Circunvalación), I. Peirano, Palestina, Blomberg, Paso Bajo a Nivel de Av. Circunvalación, López Buchardo, Baigorria, Bv. Granel, Cnel. Fontana, Av. Suárez, F. Grandoli Norte, Villa del Parque, Salvat, Calderón- Tres Sargentos, Camino limite del municipio, L. Batlle hasta Arequipa.
;;;;;;;
10;1;107;ROJO;NULL;M. Santafesinos e Isola;Battle y Arequipa; IDA: Desde L. Batlle y Arequipa, por L. Batlle-Villa del Parque, Levi, Calderón, Salvat, Villa del Parque, F. Grandoli Norte, Laguna, Matheu, Polledo, F. Grandoli Norte-Palestina, I. Peirano, Palliere, puente “Automóvil Club Argentino” (puente sobre Av. Circunvalación), Palliere, Gianneo, Z. Pereyra, Baigorria, Avalos, Superí, Bv. Rondeau, Av. Alberdi, Casilda, Bv. Avellaneda, San Lorenzo, Vera Mújica, Tucumán, Suipacha, San Lorenzo, Entre Ríos, Amenabar, Colón, Ayolas, Necochea-Pavón, E. de Luca, Ab. Grandoli, J. M. Gutiérrez, M. Santafesinos hasta Isola.VUELTA: Desde M. Santafesinos e Isola, por Isola, N. Roxlo, Sanchez de Thompson, Hipócrates, J. M. Gutiérrez, Pavón-Necochea, Gaboto, Corrientes, Santa Fe, Bv. Avellaneda, Harding, Av. Alberdi, Bv. Rondeau, Baigorria, Z. Pereyra, Gianneo, Palliere puente “Automóvil Club Argentino” (puente sobre Av. Circunvalación), I. Peirano, Palestina-F. Grandoli Norte, Polledo, Matheu, Laguna, F. Grandoli Norte, Gazcón, Calle 1331, Villa del Parque, Salvat, Calderón- Tres Sargentos, Camino Limite del municipio, L. Batlle hasta Arequipa.<p></p><b>Recorrido de Seguridad:</b> (de 22 a 06 hs.) IDA: De su recorrido por Ayolas, A. Grandoli, J. M. Gutiérrez, Maestros Santafesinos hasta Isola. VUELTA: De su recorrido por Sánchez de Thompson, A. Grandoli, Gaboto, a su recorrido.<p></p> TRANSBORDO GRATUITO: En el nodo ubicado en Casiano Casas y Baigorria:	Con las líneas 106 R/N (todos los días, las 24 hs)
;;;;;;;
